1	100131020869	アパート	1,538.81㎡	千葉県勝浦市浜勝浦	"売主
オーナーチェンジ"	7,100万円	一中	498.14㎡	シーサイドハイツ・シーサイドハイツＡ	-	角地	外房線　勝浦	徒歩　15分	北西6m	プロフィットマネジメントゼニス（株）	1985年（昭和60年） 2月	0357914380
2	400131558867	マンション	342.32㎡	福岡県福岡市西区姪の浜１丁目	"一般
オーナーチェンジ"	13,500万円	一住	458.95㎡		-	一方	福岡空港線　姪浜	徒歩　6分	北6m	三井住友トラスト不動産（株）　福岡西新センター	1984年（昭和59年） 9月	092-832-5500
3	100133053881	アパート	594.86㎡	千葉県市川市南大野１丁目	専任	10,000万円	-	361.64㎡		公開中	-	武蔵野線　市川大野	徒歩　17分	-	パナソニックホームズ不動産（株）　関東住宅流通センター	1987年（昭和62年）11月	09032694198
4	100134685990	アパート	579.78㎡	神奈川県平塚市北金目３丁目	"一般
オーナーチェンジ"	4,980万円	-	303.60㎡		-	-	小田急線　東海大学前	徒歩　24分	-	（株）西田コーポレーション	1978年（昭和53年） 3月	046-224-8671
5	100134686011	アパート	309.47㎡	埼玉県上尾市大字上	"専任
オーナーチェンジ"	5,080万円	一低	184.42㎡		申込あり	一方	高崎線　上尾	徒歩　13分	東3.5m	（株）木下不動産	2017年（平成29年）10月	03-5908-2223
6	100130027207	アパート	132.24㎡	千葉県柏市弥生町	専任	2,300万円	-	125.60㎡	大森コーポ	公開中	-	常磐線　柏	徒歩　20分	-	（株）ＰＬＥＡＳＡＮＴ	1980年（昭和55年） 8月	03-6225-2844
7	100134381094	マンション	142.29㎡	東京都目黒区碑文谷６丁目	売主	27,000万円	一低	214.14㎡	パークハイツ碑文谷公園	-	一方	東横線　学芸大学	徒歩　6分	西	（株）Ｓ－ＦＩＴパートナーズ		0357977015
8	100134685986	マンション	205.60㎡	東京都江東区北砂５丁目	"売主
オーナーチェンジ"	28,500万円	一住	386.60㎡	Ｈｘ北砂	-	角地	都営新宿線　大島	徒歩　17分	南5.4m	Ｈｅｕｒｅｕｘ建設（株）	2019年（平成31年） 1月	08065776538
9	100134685983	アパート	211.73㎡	東京都中野区若宮１丁目	"売主
オーナーチェンジ"	15,800万円	-	255.85㎡	Ｈｘ若宮	-	三方	西武新宿線　野方	徒歩　6分	北5.4m	Ｈｅｕｒｅｕｘ建設（株）	1968年（昭和43年） 9月	080-6577-6538
10	100134685974	アパート	144.37㎡	埼玉県ふじみ野市鶴ケ岡２丁目	"専任
オーナーチェンジ"	3,840万円	一中	154.32㎡		公開中	一方	東武東上線　上福岡	徒歩　17分	北東6m	Ｈｅｕｒｅｕｘ建設（株）	1986年（昭和61年） 7月	03-6381-6315
11	100134685953	アパート	91.00㎡	東京都中野区松が丘１丁目	"専任
オーナーチェンジ"	4,680万円	一低	103.14㎡		公開中	二方	西武新宿線　新井薬師前	徒歩　5分	北東2.9m	Ｈｅｕｒｅｕｘ建設（株）	1968年（昭和43年）10月	03-6381-6315
12	100134685941	アパート	234.30㎡	千葉県千葉市花見川区長作町	売主	9,840万円	一低	199.97㎡	モダンアパートメント津田沼ＥＡＳＴ	-	角地	京成本線　実籾	徒歩　10分	-	（株）モダンアパートメント　東京支店	2025年（令和 7年） 6月	050-3628-5168
13	300134371022	アパート	180.00㎡	大阪府守口市藤田町３丁目	"一般
オーナーチェンジ"	4,800万円	二中	236.47㎡	エルハイツ	-	-	京阪本線　大和田	徒歩　10分	-	（株）タカラコンステレーション	1968年（昭和43年） 2月	080-5788-4382
14	300134370959	マンション	99.68㎡	兵庫県神戸市東灘区鴨子ヶ原３丁目	"一般
オーナーチェンジ"	2,100万円	一低	126.01㎡	鴨子ケ原マンション	-	一方	阪急神戸線　御影	バス　6分	7.7m	（株）タカラコンステレーション	1969年（昭和44年） 1月	080-5788-4382
15	100132360319	マンション	498.17㎡	埼玉県さいたま市南区大字太田窪	売主	22,000万円	二中	868.43㎡		-	角地	京浜東北線　南浦和	徒歩　17分	北東4.3m	プロフィットマネジメントゼニス（株）	1988年（昭和63年） 3月	03-5791-4380
16	100132360147	マンション	79.03㎡	神奈川県川崎市川崎区浜町２丁目	売主	9,530万円	近商	198.94㎡	ブルージュＮＫ	-	角地	鶴見線　浜川崎	徒歩　10分	東8m	プロフィットマネジメントゼニス（株）	1989年（平成 1年）12月	03-5791-4380
